Hospital:1|77,293,11|1,2,3,4,5,6,7,8,9,10,11
Hospital:2|38,43,6|12,13,14,15,16,17
Hospital:3|41,155,11|18,19,20,21,22,23,24,25,26,27,28
Hospital:4|103,22,6|29,30,31,32,33,34
Hospital:5|32,99,7|35,36,37,38,39,40,41
Ambulance:31|103,22|163,117,27,8;262,129,26,25;216,129,16,21;2,129,12,37|103,22
Ambulance:32|103,22|210,108,22,114;177,109,21,47;116,112,16,114;153,116,13,41|103,22
Ambulance:32|103,22|106,122,22,9;241,126,19,46|103,22
Ambulance:33|103,22|166,98,21,84;112,98,16,59;9,91,17,89;5,91,10,113|103,22
Ambulance:33|103,22|100,112,34,27;113,116,8,19|103,22
Ambulance:34|103,22|36,106,19,55;141,108,16,52;64,104,14,75;247,112,6,86|103,22
Ambulance:34|103,22|265,118,29,20|103,22
Ambulance:35|32,99|254,31,100,5;89,24,105,70;72,18,108,90;236,17,115,97|32,99
Ambulance:35|32,99|3,34,87,5;253,47,87,14;285,52,92,27|32,99
Ambulance:36|32,99|234,29,103,97;97,26,112,59;124,20,111,96;203,19,115,37|32,99
Ambulance:36|32,99|172,32,85,2|32,99
Ambulance:37|32,99|221,28,96,106;16,26,93,56;99,27,91,68;201,26,88,39|32,99
Ambulance:37|32,99|53,31,85,27;206,25,80,14;46,20,86,1|32,99
Ambulance:38|32,99|233,40,99,52;180,39,96,19;175,50,97,82;250,51,95,58|32,99
Ambulance:38|32,99|275,25,85,39;121,19,83,44|32,99
Ambulance:39|32,99|151,37,103,102;200,42,105,42;52,43,111,83;65,48,109,13|32,99
Ambulance:39|32,99|49,29,117,10;122,26,127,24|32,99
Ambulance:40|32,99|103,26,96,89;126,20,96,109;50,17,90,61;45,18,88,19|32,99
Ambulance:40|32,99|118,28,81,38;58,40,79,39|32,99
Ambulance:41|32,99|242,33,108,67;20,38,113,11;110,37,117,94;155,36,121,66|32,99
Ambulance:41|32,99|278,39,83,8;84,57,85,3|32,99
