Hospital:1|34,13,5|1,2,3,4,5
Hospital:2|29,43,9|6,7,8,9,10,11,12,13,14
Hospital:3|80,25,6|15,16,17,18,19,20
Hospital:4|26,80,11|21,22,23,24,25,26,27,28,29,30,31
Hospital:5|79,75,10|32,33,34,35,36,37,38,39,40,41
Ambulance:31|26,80|43,20,84,65;77,15,84,26;256,10,85,94;274,11,79,113|26,80
Ambulance:31|26,80|66,5,69,29|26,80
Ambulance:32|79,75|299,80,74,90;45,86,69,40;233,95,69,77;206,98,65,52|79,75
Ambulance:32|79,75|173,99,77,54|79,75
Ambulance:33|79,75|161,77,76,57;286,70,82,88;186,70,94,60;248,68,95,70|79,75
Ambulance:33|79,75|82,58,72,23|79,75
Ambulance:34|79,75|79,83,75,23;111,91,72,100;73,97,71,99;136,100,72,80|79,75
Ambulance:34|79,75|6,95,82,12|79,75
Ambulance:35|79,75|140,83,79,63;71,84,90,82;93,86,94,75;7,91,94,80|79,75
Ambulance:35|79,75|289,52,71,32|79,75
Ambulance:36|79,75|149,81,69,5;109,85,65,90;55,93,66,1;199,97,58,57|79,75
Ambulance:36|79,75|75,87,99,13|79,75
Ambulance:37|79,75|285,75,80,68;188,74,93,22;229,74,96,43;246,81,99,42|79,75
Ambulance:37|79,75|205,86,51,2|79,75
Ambulance:38|79,75|159,77,68,87;62,69,68,67;269,68,69,37;236,67,70,107|79,75
Ambulance:38|79,75|119,99,73,2|79,75
Ambulance:39|79,75|123,78,65,72;288,78,57,28;152,80,58,47;23,80,52,102|79,75
Ambulance:39|79,75|107,56,72,2|79,75
Ambulance:40|79,75|70,83,84,76;4,93,87,72;114,92,90,63;44,98,93,35|79,75
Ambulance:40|79,75|32,86,50,4|80,25
Ambulance:41|79,75|217,82,65,39;130,86,64,6;102,82,55,66;11,81,48,87|80,25
Ambulance:41|80,25|35,60,23,29|80,25
